Setup:	VS900-RIC.vst (modified)
Caption:	VS900-RIC   No. ???
Y-Axis:	dB re 1V/µbar
X-Axis:	Frequency [kHz]
Y-Offset:	-114
Minimum Frequency [Hz]:	50000
Maximum Frequency [Hz]:	1000000
Step size [Hz]:	1000
Output Amplitude [Vpp]:	0.2828
Output Amplitude [Vrms]:	0.1
Acquisition Channel:	1
Date:	12.06.2018

Frequency [Hz]	RMS [dB]
957000	-50.11
958000	-50.38
959000	-50.64
960000	-50.91
961000	-51.2
962000	-51.51
963000	-51.83
964000	-52.17
965000	-52.53
966000	-52.88
967000	-53.22
968000	-53.56
969000	-53.89
970000	-54.21
971000	-54.55
972000	-54.89
973000	-55.24
974000	-55.61
975000	-55.98
976000	-56.39
977000	-56.81
978000	-57.22
979000	-57.63
980000	-58
981000	-58.31
982000	-58.54
983000	-58.71
984000	-58.83
985000	-58.88
986000	-58.87
987000	-58.81
988000	-58.66
989000	-58.45
990000	-58.17
991000	-57.88
992000	-57.6
993000	-57.33
994000	-57.06
995000	-56.8
996000	-56.58
997000	-56.41
998000	-56.27
999000	-56.14
1000000	-56.04
